relative_path,kind,size_bytes,sha256
source_data/original_data/MAGE-Graph/output_1051/graph/full_output.json,text-data,116080,dade279d9e9e68e84bad9636b4d2ddac05cb51ec97511c8d986db78d510b5e49
source_data/original_data/MAGE-Graph/output_1052/graph/full_output.json,text-data,122062,bc0769df77ba7329cf5d84b7155b5c64508b55c280ff7fc54d2016b95267770e
source_data/original_data/MAGE-Graph/output_1053/graph/full_output.json,text-data,87656,4b12fa50ab9c1d375f06efbcd856f2872784e981f69e766bd528379c4bf5b27f
source_data/original_data/MAGE-Graph/output_1054/graph/full_output.json,text-data,333654,99bf7b378b0c2bd7610c9d98937d84a821691ce171301db73fab406bfbe829f1
source_data/original_data/MAGE-Graph/output_1055/graph/full_output.json,text-data,144275,1db44bc7038610e06d8e051566ca5f0219dafaa373e46bdeef38c353ba3f36ae
source_data/original_data/MAGE-Graph/output_1056/graph/full_output.json,text-data,145831,ab863c62324d20343892f5c7310dbd6ded046b282b50ee3368edae487a68a5b7
source_data/original_data/MAGE-Graph/output_1057/graph/full_output.json,text-data,162009,9b85ffd2bd99b246a9ef86bb5dff5ce234e082e230162025833a8701349fde6c
source_data/original_data/MAGE-Graph/output_1058/graph/full_output.json,text-data,168484,085f049866a7e7f66fac5474c915979088a5278f31fecf3b5f4670e2fa55d08a
source_data/original_data/MAGE-Graph/output_1059/graph/full_output.json,text-data,194765,8313cb44b1c7659d4c1af822ea0123ad5437c83b80a51ec4668585647f68a1f7
source_data/original_data/MAGE-Graph/output_106/graph/full_output.json,text-data,111428,4d9c4291aaa405447020ace848f06eb8e98f48ce70157b250201f376ce49b45d
source_data/original_data/MAGE-Graph/output_1060/graph/full_output.json,text-data,266111,3d48004496dcaa6b5d2cadc2305cdabcbabcdeb6515071621d816db956689ffe
source_data/original_data/MAGE-Graph/output_1061/graph/full_output.json,text-data,242984,bcb1a4931f737fcf8c14f460eecfbe304039f5987d9199018696d09c7c51973a
source_data/original_data/MAGE-Graph/output_1062/graph/full_output.json,text-data,76959,b4e06545c9db3a764949f57bc3740c5918d6262778f64a3802fd7c6aa25718b7
source_data/original_data/MAGE-Graph/output_1063/graph/full_output.json,text-data,149340,b19111a6bc7d1ed1cd1df005f8533076e8ab1ae84939a198197862665e876757
source_data/original_data/MAGE-Graph/output_1064/graph/full_output.json,text-data,237061,1c2e8ce731e6c55823d6dc0625ec4e9a94b34ccfbedb97f92a72cb81d240e1f1
source_data/original_data/MAGE-Graph/output_1065/graph/full_output.json,text-data,175306,d0aa674c5f5b5ef8c44fd5fdf510dcea0480c58f6de49585af427b5a009841cc
source_data/original_data/MAGE-Graph/output_1066/graph/full_output.json,text-data,235752,8917d3465b3ca0370322fdc09274ea42d97ec760fe4876dc5ff9bbfe4a6030ac
source_data/original_data/MAGE-Graph/output_1067/graph/full_output.json,text-data,107032,0ed0ad5e69c544e84bb8d7365983147924b3e90296b9270bae29071c89e5dd6d
source_data/original_data/MAGE-Graph/output_1068/graph/full_output.json,text-data,99365,aeef61bc4b1f1b0f6fd89a0513dc2e02eb85166b3a6a7855c863bb3856ffb62c
source_data/original_data/MAGE-Graph/output_1069/graph/full_output.json,text-data,154924,991cab2c1d6305868a94fe16baccc0f1f955f3c1c26cde841f2dc4a74b7e0886
source_data/original_data/MAGE-Graph/output_107/graph/full_output.json,text-data,59690,bc035c660fb39a3c843b53a5198654d4d9adaa21c19c1179b67f22cb18fd70bd
source_data/original_data/MAGE-Graph/output_1070/graph/full_output.json,text-data,303826,8193ae93eba4d3fd06a221a8f92a51e40416855251dd518b383e59dfd945375a
source_data/original_data/MAGE-Graph/output_1071/graph/full_output.json,text-data,36361,c6ab927f87b2cf8fa4101364da84913769cc0e465fd95761eada22d4b1610ba2
source_data/original_data/MAGE-Graph/output_1072/graph/full_output.json,text-data,99251,0c9a58b77d5d8a31458b657a402ce3e23a774a193ded555dfc9324de515a9f76
source_data/original_data/MAGE-Graph/output_1073/graph/full_output.json,text-data,77206,d24d1fcd70192b8a15e32f0172a8c05025071903c43175c9fb58e8099b1e175f
source_data/original_data/MAGE-Graph/output_1074/graph/full_output.json,text-data,140481,53cabfd96627d763e4b62a9efa311d70f05b4dec84de5e37736cdc131d478ee7
source_data/original_data/MAGE-Graph/output_1075/graph/full_output.json,text-data,163445,6e221e1607f808c7ccb082d74ffd51d0a0f530d7fba6aba4f44647d27ac7fce2
source_data/original_data/MAGE-Graph/output_1076/graph/full_output.json,text-data,140757,1e8c71bfd94f84e61db10339f695a3461ff4be9a311e847b13d5f4771ed921cd
source_data/original_data/MAGE-Graph/output_1077/graph/full_output.json,text-data,53091,72bede893ca54a7b4789807cc5e1d24ffb6b8a651f1f6ce46eaae8d0e63255d8
source_data/original_data/MAGE-Graph/output_1078/graph/full_output.json,text-data,181169,b5ea3b9869407a51357c8250634326536d4f3415ec00c2d6ae507c78c7a732e0
